channelKey,year,month,uploads_count_Normal,uploads_count_Short,views_total_Normal,views_total_Short,likes_total_Normal,likes_total_Short,comments_total_Normal,comments_total_Short,likes_per_1k_views_Normal,likes_per_1k_views_Short,comments_per_1k_views_Normal,comments_per_1k_views_Short,engagement_per_1k_views_Normal,engagement_per_1k_views_Short,avg_views_per_video_Normal,avg_views_per_video_Short,avg_duration_seconds_Normal,avg_duration_seconds_Short,views_mom_pct_Normal,views_mom_pct_Short,uploads_share_within_channel_month_Normal,uploads_share_within_channel_month_Short,views_share_within_channel_month_Normal,views_share_within_channel_month_Short,likes_per_1k_views_short_minus_normal,likes_per_1k_views_short_div_normal,comments_per_1k_views_short_minus_normal,comments_per_1k_views_short_div_normal,engagement_per_1k_views_short_minus_normal,engagement_per_1k_views_short_div_normal,avg_views_per_video_short_minus_normal,avg_views_per_video_short_div_normal
@nytimes,2024,2024-10,15.0,7.0,577417.0,259073.0,14668.0,4596.0,4173.0,983.0,25.4,17.74,7.23,3.79,32.63,21.53,38494.47,37010.43,279.93,152.43,0.0976,,0.6818,0.3182,0.6903,0.3097,-7.66,0.698,-3.44,0.524,-11.1,0.66,-1484.04,0.961
@nytimes,2024,2024-11,12.0,8.0,809404.0,198230.0,14019.0,4964.0,2969.0,860.0,17.32,25.04,3.67,4.34,20.99,29.38,67450.33,24778.75,220.17,161.5,0.4018,-0.2348,0.6,0.4,0.8033,0.1967,7.72,1.446,0.67,1.183,8.39,1.4,-42671.58,0.367
@nytimes,2024,2024-12,6.0,3.0,944949.0,32267.0,20641.0,1078.0,4582.0,43.0,21.84,33.41,4.85,1.33,26.69,34.74,157491.5,10755.67,563.33,129.33,0.1675,-0.8372,0.6667,0.3333,0.967,0.033,11.57,1.53,-3.52,0.274,8.05,1.302,-146735.83,0.068
@theoffice,2024,2024-01,7.0,7.0,11807890.0,19147177.0,137457.0,991755.0,3138.0,3120.0,11.64,51.8,0.27,0.16,11.91,51.96,1686841.43,2735311.0,1082.43,52.86,,,0.5,0.5,0.3815,0.6185,40.16,4.45,-0.11,0.593,40.05,4.363,1048469.57,1.622
@theoffice,2024,2024-02,11.0,8.0,12015675.0,16979875.0,189301.0,926381.0,6035.0,2986.0,15.75,54.56,0.5,0.18,16.26,54.73,1092334.09,2122484.38,744.64,43.38,0.0176,-0.1132,0.5789,0.4211,0.4144,0.5856,38.81,3.464,-0.32,0.36,38.47,3.366,1030150.29,1.943
@theoffice,2024,2024-03,14.0,12.0,10740590.0,18421795.0,170875.0,897158.0,4245.0,2778.0,15.91,48.7,0.4,0.15,16.3,48.85,767185.0,1535149.58,865.29,44.92,-0.1061,0.0849,0.5385,0.4615,0.3683,0.6317,32.79,3.061,-0.25,0.375,32.55,2.997,767964.58,2.001
@theoffice,2024,2024-04,10.0,11.0,10746138.0,28860857.0,148772.0,1416444.0,3922.0,4055.0,13.84,49.08,0.36,0.14,14.21,49.22,1074613.8,2623714.27,849.0,39.09,0.0005,0.5667,0.4762,0.5238,0.2713,0.7287,35.24,3.546,-0.22,0.389,35.01,3.464,1549100.47,2.442
@theoffice,2024,2024-05,13.0,12.0,13985531.0,51581474.0,184833.0,3091508.0,4644.0,6172.0,13.22,59.93,0.33,0.12,13.55,60.05,1075810.08,4298456.17,736.38,38.92,0.3014,0.7872,0.52,0.48,0.2133,0.7867,46.71,4.533,-0.21,0.364,46.5,4.432,3222646.09,3.996
@theoffice,2024,2024-06,13.0,8.0,7435684.0,9646515.0,121793.0,534481.0,3904.0,1898.0,16.38,55.41,0.53,0.2,16.9,55.6,571975.69,1205814.38,1399.0,48.5,-0.4683,-0.813,0.619,0.381,0.4353,0.5647,39.03,3.383,-0.33,0.377,38.7,3.29,633838.69,2.108
@theoffice,2024,2024-07,11.0,5.0,6851718.0,3077660.0,106487.0,129666.0,2881.0,534.0,15.54,42.13,0.42,0.17,15.96,42.3,622883.45,615532.0,822.82,33.4,-0.0785,-0.681,0.6875,0.3125,0.69,0.31,26.59,2.711,-0.25,0.405,26.34,2.65,-7351.45,0.988
@theoffice,2024,2024-08,12.0,6.0,11637536.0,7286602.0,151940.0,265623.0,3457.0,2363.0,13.06,36.45,0.3,0.32,13.35,36.78,969794.67,1214433.67,1064.92,45.0,0.6985,1.3676,0.6667,0.3333,0.615,0.385,23.39,2.791,0.02,1.067,23.43,2.755,244639.0,1.252
